iter	Logloss
0	0.657347523211	0.62553771162	0.5968360452
3	0.572776862744	0.55040434495	5	0.520066296	66	0.499757895477	0.481736981388	0.466385054
9	0.4690334876
10	0.4580301096
11	0.4474910676112	0.4353304117
13	0.4255119026
14	0.419081414
15	0.4111718067
16	0.4033705736117	0.3961612209118	0.39176028119	0.3692025921
20	0.3632137587
21	0.3592928676
22	0.3549448377
23	0.3512056291
24	0.3465644425
25	0.3429225748
26	0.3390221836
27	0.3356489849
28	0.3321879492
29	0.3281492089
30	0.3256260567
31	0.3231577305
32	0.3200322478
33	0.3171846152334	0.3150593501335	0.3120448336	36	0.3091912537	37	0.3056806238	0.3169452258
39	0.3145116618
40	0.3122728264
41	41	0.2958732042	0.3062750017
43	0.3040620262
44	0.3018177501
45	45	0.2886714946	46	0.2869432647	47	0.2851967048	48	0.2828817249	49	0.2805089750	50	0.2792288651	51	0.277167652	052	0.275535053	053	0.273611854	054	0.272356755	055	0.269877856	056	0.268636657	057	0.267585458	058	0.26622359	0.2751582635
60	0.2740642535
61	0.2724007992
62	0.2708331861
63	0.2696303899
64	0.2678005299
65	0.2661642751
66	0.2646520214
67	0.263207115
68	0.2616656662
69	0.2606208128
70	0.2585594702
71	0.2573660689
72	0.2557913787
73	0.2545462859
74	0.2529346972
75	0.2522056456
76	0.2504664071
77	0.2494306919
78	0.2482066039
79	0.2467572979
80	0.2450461688
81	0.2439209373
82	0.2432032152
83	0.2420699198
84	0.2412013939
85	0.2400993511
86	0.2390885371
87	0.2383442916
88	0.2374343951
89	0.236289273
90	0.2347391952
91	0.2332041061
92	0.2324698865
93	0.2315881454
94	0.2304985881
95	0.2295622159
96	0.2283238564
97	0.2262869584
98	0.2250401273
99	0.2241195131
100	0.2232264823
101	0.2223026958
102	0.2212893385
103	0.2199934325
104	0.2194046179
105	0.218439963
106	0.2176245367
107	0.216140405
108	0.2146400983
109	0.214021527
110	0.2125240841
111	0.2113767795
112	0.2104573815
113	0.2098110035
114	0.2090076174
115	0.2078739603
116	0.2069781528
117	0.2055627417
118	0.2043846408
119	0.2034904173
120	0.2025709157
121	0.201969515
122	0.2006395913
123	0.1994271394
124	0.1977211333
125	0.1966535926
126	0.1954115941
127	0.1949304603
128	0.1935345159
129	0.1926632258
130	0.1916795436
131	0.190599354
132	0.1895283743
133	0.1885881283
134	0.1878246919
135	0.1872225512
136	0.1862807783
137	0.1855993286
138	0.184988757
139	0.1834601464
140	0.1819413793
141	0.1810078646
142	0.1802833855
143	0.1795787311
144	0.1788580637
145	0.1781207137
146	0.1772122656
147	0.1764156027
148	0.1756981094
149	0.1750073841
150	0.1743121734
151	0.1738717264
152	0.1729232645
153	0.1721635797
154	0.1713862979
155	0.1705298137
156	0.1699857095
157	0.169485072
158	0.1684992121
159	0.167548729
160	0.1670785087
161	0.1661989681
162	0.1657225521
163	0.1647012193
164	0.1639844145
165	0.1636339082
166	0.1627142161
167	0.1619979667
168	0.1612299882
169	0.160454038
170	0.1598434162
171	0.1592534201
172	0.1584398978
173	0.1580213825
174	0.1574729236
175	0.1571111028
176	0.1560552699
177	0.155385356
178	0.1543582514
179	0.1535373221
180	0.1530287341
181	0.152443597
182	0.1516594332
183	0.1508288671
184	0.1505256895
185	0.1499106166
186	0.1493286144
187	0.1484980607
188	0.1478675488
189	0.1473500811
190	0.1468326189
191	0.1463260366
192	0.1458869555
193	0.1451267768
194	0.1445526831
195	0.1442358011
196	0.1440129802
197	0.1436449457
198	0.1430616571
199	0.1422757542
200	0.1420738644
201	0.1418314844
202	0.1410558907
203	0.1402360861
204	0.1396192404
205	0.1389704702
206	0.1381783945
207	0.1376608665
208	0.1368602645
209	0.1359017263
210	0.1351205891
211	0.1346634722
212	0.1341614158
213	0.1335249662
214	0.1333809999
215	0.1331601987
216	0.1326999808
217	0.1321165176
218	0.1318726582
219	0.1315257218
220	0.1308457125
221	0.1305904318
222	0.1300958761
223	0.1294447972
224	0.1292494102
225	0.1287844415
226	0.1284261134
227	0.1277588177
228	0.127340242
229	0.1271459552
230	0.1265938979
231	0.126180557
232	0.1257140052
233	0.1251844711
234	0.1248777276
235	0.1242136946
236	0.1239747775
237	0.1237037123
238	0.1233509922
239	0.1228516854
240	0.1222917975
241	0.1217997179
242	0.12132417
243	0.1208002341
244	0.1204409551
245	0.1195652691
246	0.1193289234
247	0.1187925239
248	0.1185377245
249	0.1183400097
250	0.1179776993
251	0.1174602633
252	0.1170274002
253	0.1165553494
254	0.1158842782
255	0.1156983485
256	0.1155256826
257	0.1148955539
258	0.1144195158
259	0.1142922635
260	0.1138756317
261	0.1130423763
262	0.1126996311
263	0.1125860293
264	0.1122044266
265	0.1119642581
266	0.1117403274
267	0.1112901568
268	0.1110721923
269	0.1105953205
270	0.1103620757
271	0.1099863216
272	0.1098671189
273	0.1095162314
274	0.1092180803
275	0.1089549208
276	0.1083805133
277	0.1079154519
278	0.1076064005
279	0.1074518027
280	0.1069251963
281	0.1066438127
282	0.1063633674
283	0.1058836283
284	0.1054141442
285	0.104940911
286	0.1044426414
287	0.1040201246
288	0.1037035129
289	0.1033943682
290	0.1029506745
291	0.102740226
292	0.1023603268
293	0.1017415037
294	0.1012939627
295	0.1009917918
296	0.1004993055
297	0.100195405
298	0.09999664367
299	0.09984454526
0.09352763948

299	0.08953425012
